LogStreamName,Duration (ms),BilledDuration (ms),MemorySize (MB),MaxMemoryUsed (MB),avg. cost
2024/10/15/[$LATEST]21cb0b135b0a48dba258145e6b6ff730,15539.06,15539,128,32,0.03237959125
2024/10/15/[$LATEST]f776c40a0f864efb84b428c4e7b9702f,10132.07,10132,192,32,0.0316690325
2024/10/15/[$LATEST]e2ec58629c15484f92f8e807741fd47c,7724.71,7725,256,32,0.032194137500000004
2024/10/15/[$LATEST]6660b28b86f8432498ddf009051cd592,6230.48,6231,320,32,0.032459815625
2024/10/15/[$LATEST]2bc6e81dad2d49289f324c7482e5a022,5084.73,5085,384,32,0.03178780625
2024/10/15/[$LATEST]6fb9821d8a814d8b9f602e6edcab3003,4332.88,4333,448,32,0.031601310625000004
2024/10/15/[$LATEST]da5b1ef8dd7e477d967d60f282227c0b,3735.68,3736,512,32,0.031139760000000002
2024/10/15/[$LATEST]d0038995e62e4e20ad5337abf2a56519,3348.7,3349,576,32,0.031403354375
2024/10/15/[$LATEST]5d701feab08e4ea098c471afceb0c65d,3057.41,3057,640,32,0.03185031875
2024/10/15/[$LATEST]0b0376b16e9f4783932b8ce4d8a6ddef,2725.24,2725,704,32,0.031230403125000004
2024/10/15/[$LATEST]96d32dbb868742d1afd64131772a394a,2028.72,2029,768,32,0.0253677725
2024/10/15/[$LATEST]dced0d057e054e84bb30172e7141b0b7,2286.28,2286,832,32,0.03096264125
2024/10/15/[$LATEST]c633698d53d94bab82e2111f9717efd5,2105.78,2106,896,32,0.030718842500000003
2024/10/15/[$LATEST]0c258fe1b2834e27bbcad73f649811a2,3437.41,3438,960,32,0.05372969375000001
2024/10/15/[$LATEST]08c5860549044f7b8a5e82c3a63db891,2005.94,2006,1024,32,0.03344022
2024/10/15/[$LATEST]dac68e0ea12d47f099b6d664f0023d75,1730.58,1731,1088,32,0.030659455625
2024/10/15/[$LATEST]09897c794fde4182a31de6d44d3ffa96,1705.47,1705,1152,32,0.031975343749999996
2024/10/15/[$LATEST]8a8d4040b1ba42469c052a38b06fac34,1585.26,1585,1216,32,0.031376265625000004
2024/10/15/[$LATEST]9f564b1534d04e168dae5d6f8cd7d641,1504.75,1505,1280,32,0.0313606375
2024/10/15/[$LATEST]f21535016d834e93933d5b37ea6d5ec7,1424.83,1425,1344,32,0.031178309375
2024/10/15/[$LATEST]15207d9c1a2943a9ac6a08abd9829f56,1328.07,1328,1408,32,0.030439620000000004
2024/10/15/[$LATEST]360ec98059be4d3f9fc9d300178b1df8,1298.98,1299,1472,32,0.031128299375
2024/10/15/[$LATEST]0c9575ed2ca6457e9686006135517841,1259.06,1259,1536,32,0.031481495
2024/10/15/[$LATEST]11396a9165a3445ba3d1907ce4a07252,1167.44,1167,1600,32,0.030396903125
2024/10/15/[$LATEST]dc2d3d353c0f4996ae34cdfa6b12b40a,1172.82,1173,1664,32,0.03177530375
2024/10/15/[$LATEST]74529dbc92824a5c828a300854f39b9f,1121.69,1122,1728,32,0.03156276125
2024/10/15/[$LATEST]dcc5eaf064214b2a918b4766f1690754,1077.1,1077,1792,32,0.031418982500000005
2024/10/15/[$LATEST]d1874dca52de43feb9a2c98b30122fe7,1070.54,1071,1856,32,0.032359795625
2024/10/15/[$LATEST]5b56bdaa9ce844c594e67266abf35178,1079.89,1080,1920,32,0.03375695
2024/10/15/[$LATEST]2dd601ac29804fa98397aa0e5442596f,1077.18,1077,1984,32,0.034785280625000005
2024/10/15/[$LATEST]dd5d56923cba4932aa949f7bff3cb6cf,1076.17,1076,2048,32,0.03587404
2024/10/15/[$LATEST]d8d182540acc4632819a6754ba7b16b5,947.49,948,2112,32,0.0325942175
2024/10/15/[$LATEST]bdfac8c99165442e81b9650272df94a3,1073.35,1073,2176,32,0.03800988375
2024/10/15/[$LATEST]3136f80b0cfe4cd7951ef8565654c94e,1103.74,1104,2240,32,0.04025825
2024/10/15/[$LATEST]0716fbed39564718a55a0b31c43478f7,1059.26,1059,2304,32,0.0397206425
2024/10/15/[$LATEST]ed7bf91b9a1140c694a22329ea504259,1106.32,1106,2368,32,0.042635808750000004
2024/10/15/[$LATEST]04b21526be674d3ba0426858df730004,1018.27,1018,2432,32,0.040304092500000006
2024/10/15/[$LATEST]f9348bacd37744cca58af485b516b0a2,1108.84,1109,2496,32,0.045062335625000005
2024/10/15/[$LATEST]1bde858fc14243389ed8d2176ef53c2c,1138.74,1139,2560,32,0.047468025000000004
2024/10/15/[$LATEST]caf0115ac6af4f6bb209bb406bcbe725,1057.99,1058,2624,32,0.04519465375
2024/10/15/[$LATEST]e79178aa10c14f28ad3066675af2c79b,1081.98,1082,2688,32,0.0473471675
2024/10/15/[$LATEST]ccd36332d341458ebdbe550ae1ef433d,1048.91,1049,2752,32,0.046996055625
2024/10/15/[$LATEST]966be22ccbaf4c3381311faf415ff947,1065.76,1066,2816,32,0.04886830500000001
2024/10/15/[$LATEST]44c4e7b434ba46229e754528ab3ba413,914.71,915,2880,32,0.042899403125000006
2024/10/15/[$LATEST]a9135030f015477791d5d094a889b6a2,1060.92,1061,2944,32,0.050849951250000004
2024/10/15/[$LATEST]96eeed0a1f55430db413b0a19bda7af7,1078.69,1079,3008,32,0.052836806875
